Fecha,Proveedor,RFC,Descripción,Cantidad,P. Unitario,Descuento,Impuestos,Total,Categoría,Grupo P&L,Origen,Link de Factura,UUID,Procesado_En
"26 enero, 2026",YUKUNSA,YUK160308FK5,CONTENEDOR RECTANGULAR BICOLOR CON TAPA PARA CALIENTE Y FRIO 19X14X5 CM,50,$8.59,$0.00,$68.73,-$498.31,Desechables,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/17jwMONStBKC5fPfmR2U3cZnhw7UAEHEi/view?usp=drivesdk,C3F77BE6-CA93-432C-A4DC-9AEF27EBF6C8,2026-01-26 14:34
"26 enero, 2026",YUKUNSA,YUK160308FK5,BOLSA ROLLO AD 20X30 300 BLS,2,$25.25,$0.00,$8.08,-$58.58,Desechables,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/17jwMONStBKC5fPfmR2U3cZnhw7UAEHEi/view?usp=drivesdk,C3F77BE6-CA93-432C-A4DC-9AEF27EBF6C8,2026-01-26 14:34
"26 enero, 2026",YUKUNSA,YUK160308FK5,BOLSA ROLLO P/ BASURA LINEA HOGAR BLANCA 50X60 AD,2,$19.11,$0.00,$6.12,-$44.35,Desechables,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/17jwMONStBKC5fPfmR2U3cZnhw7UAEHEi/view?usp=drivesdk,C3F77BE6-CA93-432C-A4DC-9AEF27EBF6C8,2026-01-26 14:34
"26 enero, 2026",YUKUNSA,YUK160308FK5,BOLSA  CAMISETA #2 BEIGE AD,2,$42.65,$0.00,$13.65,-$98.95,Desechables,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/17jwMONStBKC5fPfmR2U3cZnhw7UAEHEi/view?usp=drivesdk,C3F77BE6-CA93-432C-A4DC-9AEF27EBF6C8,2026-01-26 14:34
"26 enero, 2026",YUKUNSA,YUK160308FK5,ENVASE DELIVERY TERMICO PSE 16 OZ,1,$442.57,$0.00,$70.81,-$513.38,Desechables,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/17jwMONStBKC5fPfmR2U3cZnhw7UAEHEi/view?usp=drivesdk,C3F77BE6-CA93-432C-A4DC-9AEF27EBF6C8,2026-01-26 14:34
"26 enero, 2026",CASA SANTOS LUGO,CSL000915HJ9,AZUCAR MORENA ESTANDAR EL ABUELO JOSE BOLSA 2 KG,5,$48.10,$0.00,$0.00,-$240.50,Insumos Alimentos,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1x3j-FNzEexhdpLmueVfisr-YmP4JKX4o/view?usp=drivesdk,4C3159E7-FB0B-11F0-8681-8F8E1C611F44,2026-01-26 17:19
"26 enero, 2026",CASA SANTOS LUGO,CSL000915HJ9,MANTEQUILLA SIN SAL LOMA LINDA 1 KG PIEZA,1,$99.20,$0.00,$0.00,-$99.20,Insumos Alimentos,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1x3j-FNzEexhdpLmueVfisr-YmP4JKX4o/view?usp=drivesdk,4C3159E7-FB0B-11F0-8681-8F8E1C611F44,2026-01-26 17:19
"26 enero, 2026",CASA SANTOS LUGO,CSL000915HJ9,HUEVO TREINTANERO EL ABUELO JOSE,1,$90.90,$0.00,$0.00,-$90.90,Insumos Alimentos,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1x3j-FNzEexhdpLmueVfisr-YmP4JKX4o/view?usp=drivesdk,4C3159E7-FB0B-11F0-8681-8F8E1C611F44,2026-01-26 17:19
"26 enero, 2026",CASA SANTOS LUGO,CSL000915HJ9,ACEITE VEGETAL PATRONA 20 L PIEZA,1,$692.40,$0.00,$0.00,-$692.40,Insumos Alimentos,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1x3j-FNzEexhdpLmueVfisr-YmP4JKX4o/view?usp=drivesdk,4C3159E7-FB0B-11F0-8681-8F8E1C611F44,2026-01-26 17:19
"26 enero, 2026",CASA SANTOS LUGO,CSL000915HJ9,LECHE CONDENSADA LA LECHERA 375 G PIEZA,8,$32.10,$0.00,$0.00,-$256.80,Insumos Alimentos,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1x3j-FNzEexhdpLmueVfisr-YmP4JKX4o/view?usp=drivesdk,4C3159E7-FB0B-11F0-8681-8F8E1C611F44,2026-01-26 17:19
